epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.0442,0.01264,1.90984,1.30117,0.18917,0.33185,0.2892,0.15005,0.01449,3.56428,1.66343,0.0805536,0.000196429,0.000196429
2,166.542,0.01196,1.1407,1.22065,0.71446,0.63465,0.72379,0.33876,0.01116,1.42656,1.1766,0.060753,0.000395824,0.000395824
3,303.046,0.0118,1.07217,1.20027,0.6285,0.67875,0.66282,0.30425,0.01098,1.05503,1.11672,0.0409499,0.000592794,0.000592794
4,378.754,0.01175,1.01464,1.18025,0.71563,0.67181,0.72413,0.34288,0.01084,0.9382,1.13424,0.0211427,0.000785536,0.000785536
5,446.461,0.01172,1.04216,1.20243,0.72588,0.72421,0.77208,0.3566,0.0108,0.93267,1.1308,0.00132943,0.000972288,0.000972288
6,585.7,0.01191,1.02482,1.21002,0.71402,0.6273,0.6698,0.33185,0.01088,0.9239,1.13193,0.00096232,0.00096232,0.00096232
7,663.731,0.01165,0.96073,1.18785,0.72477,0.67077,0.75451,0.36721,0.01046,0.87451,1.10426,0.000946048,0.000946048,0.000946048
8,748.181,0.01137,0.92193,1.16769,0.69738,0.6671,0.75438,0.3669,0.01036,0.88177,1.10279,0.000927057,0.000927057,0.000927057
9,884.519,0.01141,0.92575,1.18946,0.74433,0.72232,0.78208,0.37518,0.01015,0.91413,1.10372,0.000905463,0.000905463,0.000905463
10,960.382,0.0113,0.92176,1.17059,0.78074,0.76602,0.81854,0.38563,0.01032,0.90997,1.09222,0.000881401,0.000881401,0.000881401
11,1036.78,0.01119,0.88835,1.15683,0.78592,0.77257,0.83667,0.39844,0.01058,0.82588,1.12439,0.000855018,0.000855018,0.000855018
12,1233.51,0.0111,0.86412,1.1681,0.76118,0.75792,0.81717,0.39118,0.01066,0.89806,1.14721,0.000826477,0.000826477,0.000826477
13,1304.17,0.01113,0.8739,1.16594,0.79663,0.78487,0.84569,0.41281,0.01023,0.75886,1.10925,0.000795954,0.000795954,0.000795954
14,1378.42,0.01103,0.83804,1.15307,0.7718,0.77805,0.8534,0.42331,0.00983,0.74381,1.07722,0.000763637,0.000763637,0.000763637
15,1533.15,0.01079,0.83713,1.12096,0.74942,0.76184,0.81194,0.39777,0.00996,0.74973,1.07471,0.000729725,0.000729725,0.000729725
16,1605.38,0.01111,0.82308,1.15741,0.82459,0.81261,0.86091,0.41535,0.00994,0.73321,1.06639,0.000694428,0.000694428,0.000694428
17,1683.57,0.01092,0.80284,1.13802,0.81985,0.80277,0.86212,0.42448,0.00971,0.72508,1.06952,0.000657963,0.000657963,0.000657963
18,1842.57,0.01078,0.80037,1.13279,0.80048,0.81837,0.87002,0.42984,0.0097,0.72687,1.05985,0.000620555,0.000620555,0.000620555
19,1911.34,0.01083,0.80568,1.14341,0.83856,0.85135,0.89135,0.44034,0.00964,0.72787,1.05815,0.000582435,0.000582435,0.000582435
20,1987.46,0.01057,0.76801,1.11817,0.83325,0.81392,0.88537,0.45718,0.0094,0.69822,1.06194,0.000543837,0.000543837,0.000543837
21,2143.28,0.01064,0.76563,1.12088,0.8558,0.84376,0.90072,0.45854,0.00939,0.68944,1.04404,0.000505,0.000505,0.000505
22,2219.19,0.01051,0.74647,1.12664,0.84719,0.83722,0.89414,0.45342,0.00944,0.68397,1.05065,0.000466163,0.000466163,0.000466163
23,2297.11,0.01056,0.75891,1.11212,0.80786,0.83931,0.87925,0.4424,0.00965,0.69485,1.05549,0.000427565,0.000427565,0.000427565
24,2430.25,0.01042,0.75191,1.11351,0.83123,0.81261,0.89215,0.45691,0.00946,0.68162,1.04774,0.000389445,0.000389445,0.000389445
25,2507.11,0.01035,0.72568,1.10464,0.84446,0.83688,0.88857,0.45777,0.00938,0.64881,1.0446,0.000352037,0.000352037,0.000352037
26,2578.87,0.01037,0.72918,1.10692,0.85173,0.84942,0.90522,0.47008,0.00923,0.65239,1.0368,0.000315572,0.000315572,0.000315572
27,2724.4,0.01011,0.70983,1.09876,0.85714,0.84559,0.91153,0.47526,0.00918,0.64304,1.02817,0.000280275,0.000280275,0.000280275
28,2797.88,0.01038,0.70992,1.10413,0.87209,0.86717,0.91674,0.47602,0.00922,0.64293,1.03569,0.000246363,0.000246363,0.000246363
29,2874.73,0.01013,0.70749,1.08607,0.8682,0.84193,0.91381,0.47913,0.00916,0.63735,1.03037,0.000214046,0.000214046,0.000214046
30,3019.18,0.01011,0.70242,1.09432,0.84637,0.83434,0.89607,0.46908,0.00931,0.63451,1.03734,0.000183523,0.000183523,0.000183523
31,3140.3,0.00998,0.68332,1.08947,0.88152,0.87232,0.9337,0.49534,0.00895,0.61216,1.01464,0.000154982,0.000154982,0.000154982
32,3213.02,0.00999,0.67908,1.07829,0.86695,0.84166,0.91455,0.48229,0.00916,0.62054,1.03416,0.000128599,0.000128599,0.000128599
33,3361.41,0.00997,0.67251,1.07733,0.88335,0.87399,0.93343,0.49605,0.00893,0.60455,1.01677,0.000104537,0.000104537,0.000104537
34,3436.46,0.00977,0.65772,1.06249,0.88653,0.87176,0.93114,0.48591,0.009,0.60414,1.01995,8.29431e-05,8.29431e-05,8.29431e-05
35,3502.75,0.00988,0.66874,1.07868,0.8822,0.86436,0.92996,0.49568,0.0089,0.59483,1.01895,6.39518e-05,6.39518e-05,6.39518e-05
36,3666.51,0.00983,0.66605,1.06207,0.88295,0.87778,0.93814,0.50145,0.00887,0.59571,1.01624,4.76796e-05,4.76796e-05,4.76796e-05
37,3737.3,0.00973,0.6514,1.07535,0.88592,0.87281,0.93518,0.49949,0.00886,0.59045,1.01499,3.4227e-05,3.4227e-05,3.4227e-05
38,3812.59,0.00977,0.65241,1.06704,0.88653,0.87543,0.9366,0.49771,0.00887,0.59054,1.0158,2.36769e-05,2.36769e-05,2.36769e-05
39,3957.89,0.00975,0.64955,1.06736,0.88908,0.87476,0.93728,0.4993,0.00887,0.59024,1.01561,1.60943e-05,1.60943e-05,1.60943e-05
40,4029.96,0.00969,0.65268,1.06873,0.88699,0.87019,0.93474,0.49888,0.00888,0.59133,1.01607,1.15259e-05,1.15259e-05,1.15259e-05
